dataset,PDGFRA,KRT14,KLF4,IGF1,COL1A1,COL3A1,POSTN,LUM,MMP2,BMP2,SOX9
Reindeer,0.1459390968084335,1.6796633005142212,0.530571699142456,0.0353125371038913,0.952708065509796,0.8361943960189819,0.4114488959312439,0.3748999238014221,0.3176397085189819,0.1603562533855438,
SpinyWound,,0.4404480159282684,,0.0090719209983944,0.0296940021216869,0.0340178869664669,0.0457571521401405,0.0100804483518004,,,0.0385041274130344
SpinySteady,,0.2500012766997518,1.8343848705178785,0.5907183680528632,2.06877708219282,2.135380796940217,1.188326286016646,1.0412903903363606,0.9020386682483872,0.0830517520169971,0.108857241026359
MouseEpi,0.4472199976444244,,6.711120128631592,2.963419914245605,165.12542724609375,88.60163879394531,12.15176010131836,4.163300037384033,3.5322999954223637,0.1327999979257583,0.6642600297927856
RatSpatial,0.1819392639178169,,0.322284904736545,0.3553277218656454,4.535546119342295,3.690338278898177,1.0290891016651622,1.4330630709636951,1.1081325130926667,0.0014200424385849,0.0744678665325148
