dataset,PDGFRA,KRT14,KLF4,IGF1,COL1A1,COL3A1,POSTN,LUM,MMP2,BMP2,SOX9
Reindeer,9.466,59.09,33.516,3.048,36.58,32.314,18.832,17.01,16.18,12.446,0.0
SpinyWound,0.0,12.864,0.0,0.58,1.4500000000000002,1.442,2.814,0.524,0.0,0.0,2.254
SpinySteady,0.0,9.974883387154646,68.78363832077503,23.681377825618945,72.51524937208468,73.26874775744528,45.20990312163617,40.40186580552565,36.02439899533549,3.4445640473627552,4.485109436670254
MouseEpi,20.42,0.0,74.568,34.778,49.06,62.244,46.918,39.786,49.388,8.238,17.314
RatSpatial,6.29,0.0,10.752,11.732,98.986,91.782,32.616,44.166,35.65,0.05,2.616
