comparison,group,ref,p_value,p_adj,global_kruskal_p
SPTDI vs Normal,SPTDI,Normal,0.000999000999000999,0.001998001998001998,0.0011066126314651838
DPTDI vs Normal,DPTDI,Normal,0.011606559575880577,0.011606559575880577,0.0011066126314651838
