comparison,group,ref,p_value,p_adj,global_kruskal_p
0-7dpi vs Normal,0-7dpi,Normal,0.14185814185814188,0.14185814185814188,0.010252136604492871
8-14dpi vs Normal,8-14dpi,Normal,0.023976023976023976,0.04795204795204795,0.010252136604492871
15-28dpi vs Normal,15-28dpi,Normal,0.0030851501439736733,0.012340600575894693,0.010252136604492871
1-2mph vs Normal,1-2mph,Normal,0.05594405594405595,0.0745920745920746,0.010252136604492871
