population	feature	axis	spearman_r	p	n	fdr
KC_Spinous_Mig	IGFL1	wound_x_um	0.0339872648350775	0.00522148810668631	6752	0.006961984142248413
KC_Spinous_Mig	IGFL1	surface_axis	-0.012478852344313581	0.3052479385683483	6752	0.3052479385683483
all_cells	IGFL1	wound_x_um	0.02514722833824174	1.0148464738846981e-13	87482	2.0296929477693962e-13
all_cells	IGFL1	surface_axis	0.046037779486849506	2.891760255891593e-42	87482	1.1567041023566373e-41
