feature	Fib_K14_mean	other_fib_mean	wilcoxon_p	log2FC_proxy	fdr
IGFLR1	0.051871903240680695	0.025281378999352455	5.378234217402027e-22	1.0368489027023315	5.378234217402027e-22
receiver_like_score	2.3622055053710938	0.6797307729721069	0.0	1.7970975637435913	0.0
