feature	Fib_K14_mean	other_fib_mean	log2FC_proxy	wilcoxon_p	fdr	significance
KLF4	0.1491241753101349	0.10544376075267792	0.5000364780426025	1.5777574715697312e-21	2.1036766287596417e-21	***
KLF4_regulon_proxy	0.7569254040718079	0.5260186791419983	0.5250362157821655	0.0	0.0	***
epithelialization_score	0.07792972773313522	0.05989447608590126	0.379745215177536	1.6176169269747952e-20	1.6176169269747952e-20	***
scar_score	1.2818365097045898	0.9463022351264954	0.43783891201019287	4.8670722626490636e-250	9.734144525298127e-250	***
