comparison	gene	spearman_r	p	fdr
KLF4_vs_GRHL3	GRHL3	-0.0024662448659574353	0.7428927805466544	0.744789257992524
KLF4_vs_TP63	TP63	0.018911690166286663	0.011883455103761155	0.026737773983462602
KLF4_vs_TACSTD2	TACSTD2	0.019116025807757415	0.010997710757216136	0.026737773983462602
KLF4_vs_COL1A1	COL1A1	-0.0031736879887386644	0.6729378231662109	0.744789257992524
KLF4_vs_ACTA2	ACTA2	0.03733707675226178	6.772589436192211e-07	6.095330492572991e-06
KLF4_vs_FN1	FN1	0.031089915624426024	3.532062013080559e-05	0.00015894279058862516
KLF4_vs_POU5F1	POU5F1	-0.0029975184255555667	0.6901232957907599	0.744789257992524
KLF4_vs_SOX2	SOX2	-0.002447394378712063	0.744789257992524	0.744789257992524
KLF4_vs_MYC	MYC	0.0071288485303806215	0.3430331945185715	0.6174597501334287
