Time_category	n	mean_expression	sem_expression
Normal	6172	0.834075872295858	0.008966250049582613
0-7dpi	368	0.6440304564065003	0.03461761014272677
8-14dpi	1007	0.5234099791478652	0.01490946226258009
15-28dpi	3425	0.5345155841122691	0.00854313268230109
1-2mph	3384	0.5774732732083778	0.010952610351773188
