sub_labels	count	mean	median	std	min	max
Fib_K14	4734	0.1014818768754129	0.0948461538461538	0.0345323957581419	0.0181666666666666	0.2394358974358974
Fib_SFRP2	5958	0.0975717587213055	0.0977307692307692	0.0151760106073369	0.0203589743589743	0.1534102564102564
Fib_CD45	4181	0.0939572853997632	0.086525641025641	0.0323402690379012	0.0143717948717948	0.2354230769230769
Fib_EN1	1574	0.0884789447105202	0.0889102564102564	0.0180893259834117	0.0322948717948717	0.1373589743589743
Fib_Inflama	5683	0.0834670519813929	0.0832179487179487	0.0158499357138242	0.0176923076923076	0.1428717948717948
Fib_Fasci	1607	0.0793673751057073	0.0792179487179487	0.0150678785490679	0.0346794871794871	0.1389871794871794
Fib_Myo	10481	0.071238416768805	0.0712179487179487	0.0135465797406865	0.0198461538461538	0.1263974358974359
Fib_Papi	2070	0.070156639415335	0.0700384615384615	0.0168820484919857	0.0156538461538461	0.133051282051282
Fib_Prolif	2046	0.0646712722761109	0.0640128205128205	0.0142291817779987	0.0213589743589743	0.1214487179487179
