gene	level	n	rho	p_value	q_value	interpretation
GRHL3	cell	4734	0.15442823188106028	1.1754139977317917e-26	3.526241993195375e-26	significant positive
TP63	cell	4734	0.1444422776406862	1.7200001148707146e-23	3.440000229741429e-23	significant positive
TACSTD2	cell	4734	0.34544052511286233	9.002603503215056e-133	5.401562101929034e-132	significant positive
COL1A1	cell	4734	0.049414975382637234	0.0006710758129061852	0.0008052909754874222	significant positive
ACTA2	cell	4734	-0.10451619391231076	5.636799040979836e-13	8.455198561469755e-13	significant negative
FN1	cell	4734	0.023264881157115412	0.10948495922152672	0.10948495922152672	not significant
