gene	level	n	rho	p_value	q_value	interpretation
GRHL3	sample_mean	32	0.3404929485643354	0.05653253218644192	0.13484956344405202	not significant
TP63	sample_mean	32	-0.0813782991202346	0.6579353154978129	0.6579353154978129	not significant
TACSTD2	sample_mean	32	0.38343108504398826	0.030289765656163405	0.13484956344405202	not significant
COL1A1	sample_mean	32	-0.12096774193548387	0.5095747265540842	0.611489671864901	not significant
ACTA2	sample_mean	32	-0.32734604105571846	0.06742478172202601	0.13484956344405202	not significant
FN1	sample_mean	32	0.12611126439181453	0.4916015658684487	0.611489671864901	not significant
