bin	n	mean_pseudotime	mean_expression	sem_expression
1	478	0.17502812447411412	0.9278181540429992	0.03518219223897995
2	479	0.23845140108117013	0.9469131455674751	0.03409102396290038
3	478	0.2844868990738774	0.9645225262689475	0.03641381051832209
4	479	0.32499117779128817	0.7855970895002857	0.035676114794927216
5	478	0.3796417475843359	0.7477701883579332	0.034983848597140536
6	479	0.46138941335966716	0.6575706775493965	0.03345900699513237
7	478	0.6530577584790446	0.6305866635519177	0.029559704541172432
8	479	1.128306401318164	0.5489345827255401	0.025858028944136056
9	478	1.6375214565532448	0.544430764011967	0.025004137721371035
10	479	1.964867081665664	0.5258693541669617	0.026280321733881378
11	478	2.4959932519968446	0.6893399914150453	0.033599784869848805
12	479	3.0717101439801904	0.7046046058080381	0.033393650911492115
13	478	3.8731357092704353	0.7509614668447021	0.02854250963127947
14	479	4.218273895174937	0.9105799070331483	0.026398877458852017
15	479	6.566442664012999	0.9604926533493602	0.03080206012890321
16	478	10.066014779694767	0.43992784601939067	0.024812817289567562
17	479	10.985177106038165	0.4537969293048803	0.022992894588754975
18	478	11.332584495314697	0.4916276553864147	0.022999637978767685
19	479	12.320052638201203	0.5416603738569417	0.02591303766533783
20	478	13.552329673385348	0.6366931786436715	0.028016912183810545
21	479	14.249961544387844	0.5919181559472684	0.028349231118747414
22	478	14.490208076625773	0.5717124833842887	0.026409463983350402
23	479	14.65059646758761	0.6058931299532763	0.025412769142820122
24	478	14.961152182835026	0.529720318205247	0.02471330502089354
25	479	16.284270256128803	0.6168259002743414	0.02697819134952455
26	478	17.153204610704858	0.8392415582159211	0.029354121493335314
27	479	17.244867447605504	0.7739125925961182	0.028291587847363027
28	478	17.332415735403288	0.6574834521557168	0.02481895378119092
29	479	17.448097968537276	0.6589912392970722	0.019630470714382977
30	479	17.59028588642876	0.5582790097550759	0.020821876039092104
