gene
LINC01409
AL645608.6
LINC01128
SAMD11
TTLL10
C1orf159
ATAD3C
AGRN
ISG15
PLEKHN1
AURKAIP1
KLHL17
LINC00115
FAM87B
NOC2L
CCNL2
FAM41C
SDF4
HES4
SSU72
AL645608.7
C1QTNF12
TNFRSF18
PERM1
RNF223
ACAP3
UBE2J2
TNFRSF4
VWA1
B3GALT6
DVL1
INTS11
AL390719.2
MXRA8
ANKRD65
MRPL20
ATAD3A
SCNN1D
PUSL1
CPTP
CDK11B
CDK11A
NADK
FNDC10
AL691432.2
MRPL20-AS1
SLC35E2B
ATAD3B
TMEM240
GNB1
AL645728.1
MIB2
MMP23B
FO704657.1
SLC35E2A
CFAP74
TMEM52
FAAP20
PRKCZ
AL139246.5
PEX10
RER1
MORN1
SKI
PLCH2
HES5
TNFRSF14-AS1
PANK4
TNFRSF14
AL139246.3
PRXL2B
MMEL1
PRDM16
SMIM1
MEGF6
LRRC47
ARHGEF16
TPRG1L
WRAP73
CEP104
TP73
C1orf174
DFFB
AJAP1
NPHP4
RPL22
ICMT
KCNAB2
ACOT7
GPR153
AL031847.1
AL031848.2
PHF13
KLHL21
HES2
ESPN
TNFRSF25
RNF207
NOL9
DNAJC11
PLEKHG5
TAS1R1
THAP3
ZBTB48
CAMTA1
CAMTA1-DT
VAMP3
PER3
PARK7
UTS2
TNFRSF9
ERRFI1
AL034417.2
RERE
SLC45A1
ENO1
GPR157
CA6
SLC2A5
ENO1-AS1
H6PD
MIR34AHG
LNCTAM34A
CLSTN1
SPSB1
LZIC
PIK3CD
NMNAT1
SLC25A33
PIK3CD-AS2
UBE4B
CTNNBIP1
AL357140.2
TMEM201
KIF1B
AL357140.1
RBP7
DFFA
PGD
CENPS
PEX14
CASZ1
CORT
SRM
MTOR
TARDBP
EXOSC10
AL109811.2
MASP2
UBIAD1
ANGPTL7
FBXO2
AGTRAP
MAD2L2
FBXO6
MTHFR
FBXO44
MFN2
DRAXIN
KIAA2013
AL021155.5
PLOD1
C1orf167
CLCN6
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
HNRNPCL1
LRRC38
PDPN
PRDM2
KAZN
FHAD1
TMEM51-AS1
TMEM51
EFHD2
PLEKHM2
FBLIM1
CASP9
DDI2
AGMAT
DNAJC16
UQCRHL
AL450998.3
AL450998.2
EPHA2
AL121992.1
ARHGEF19
SPEN
ZBTB17
SLC25A34
HSPB7
FBXO42
FAM131C
CPLANE2
NECAP2
SZRD1
AL451042.2
AL451042.1
AL109627.1
SPATA21
NBPF1
CROCC
ATP13A2
PADI2
SDHB
BX284668.5
AL137802.2
MFAP2
AL049569.1
BX284668.6
RCC2
PADI4
PADI1
PADI3
ARHGEF10L
IGSF21
IFFO2
PAX7
UBR4
AL137127.1
ALDH4A1
CAPZB
MRTO4
EMC1
SLC66A1
AKR7A2
MICOS10
EMC1-AS1
AKR7A3
NBL1
TMCO4
PLA2G2A
PLA2G5
OTUD3
PLA2G2F
CAMK2N1
PINK1-AS
HP1BP3
DDOST
MUL1
PINK1
CDA
EIF4G3
FAM43B
KIF17
ECE1
ALPL
USP48
RAP1GAP
HSPG2
NBPF3
CDC42
LDLRAD2
WNT4
CDC42-AS1
LINC00339
AL445253.1
ZBTB40
C1QA
LUZP1
EPHA8
EPHB2
C1QC
C1QB
HNRNPR
TCEA3
AL031428.1
KDM1A
ID3
ZNF436
ASAP3
ELOA-AS1
LINC01355
MDS2
ZNF436-AS1
SRSF10
E2F2
PNRC2
RPL11
ELOA
PITHD1
HMGCL
FUCA1
GALE
LYPLA2
MYOM3
CNR2
IL22RA1
IFNLR1
SRRM1
NIPAL3
RCAN3AS
RCAN3
GRHL3
STPG1
NCMAP
SYF2
CLIC4
RUNX3
RSRP1
TMEM50A
RHD
MACO1
RHCE
LDLRAP1
SELENON
STMN1
MAN1C1
MTFR1L
PAQR7
AUNIP
EXTL1
AL020996.1
HMGN2
PDIK1L
PAFAH2
FAM110D
SH3BGRL3
UBXN11
CD52
ZNF593
CEP85
CRYBG2
AL391650.1
CNKSR1
DHDDS
SFN
NUDC
RPS6KA1
TENT5B
ARID1A
ZDHHC18
GPATCH3
GPN2
KDF1
PIGV
SLC9A1
WASF2
TRNP1
WDTC1
FGR
CD164L2
MAP3K6
TMEM222
SYTL1
STX12
AHDC1
FCN3
GPR3
IFI6
FAM76A
DNAJC8
RPA2
PPP1R8
EYA3
SMPDL3B
AL020997.2
XKR8
PHACTR4
THEMIS2
PTAFR
TAF12
SESN2
MED18
ATP5IF1
AL353622.1
TRNAU1AP
RCC1
SNHG3
SNHG12
SRSF4
OPRD1
GMEB1
YTHDF2
RAB42
LINC01715
EPB41
MECR
TMEM200B
PTPRU
LAPTM5
PUM1
SDC3
MATN1
MATN1-AS1
LINC01778
SNRNP40
NKAIN1
ZCCHC17
AL451070.1
FABP3
SERINC2
LINC01226
PEF1
COL16A1
TINAGL1
SPOCD1
PTP4A2
HCRTR1
AC114488.2
KHDRBS1
EIF3I
ADGRB2
KPNA6
MARCKSL1
AL136115.2
BSDC1
LCK
ZBTB8OS
TXLNA
ZBTB8A
TMEM234
HDAC1
TMEM39B
FAM229A
CCDC28B
IQCC
KIAA1522
ZBTB8B
RNF19B
YARS
TMEM54
RBBP4
AK2
SYNC
AL020995.1
FNDC5
S100PBP
TRIM62
HPCA
PHC2
AL031602.2
AZIN2
ZNF362
AL513327.1
CSMD2
ZSCAN20
DLGAP3
GJA4
GJB3
GJB4
GJB5
SMIM12
SFPQ
ZMYM4
ZMYM6
TMEM35B
ZMYM1
NCDN
KIAA0319L
PSMB2
C1orf216
TFAP2E
ADPRHL2
CLSPN
AGO4
THRAP3
AGO3
COL8A2
AGO1
MAP7D1
TRAPPC3
EVA1B
SH3D21
TEKT2
STK40
LSM10
MRPS15
OSCP1
CSF3R
AL591845.1
GRIK3
ZC3H12A
LINC01137
MEAF6
GNL2
C1orf109
SNIP1
EPHA10
YRDC
RSPO1
MTF1
C1orf122
DNALI1
CDCA8
SF3A3
INPP5B
POU3F1
FHL3
MANEAL
UTP11
RRAGC
AKIRIN1
MYCBP
AL139260.1
NDUFS5
RHBDL2
MACF1
HEYL
PABPC4
BMP8B
TRIT1
BMP8A
PPIE
PPT1
MFSD2A
CAP1
RLF
MYCL
ZMPSTE24
AL050341.2
COL9A2
SMAP2
ZNF684
RIMS3
ZFP69B
ZFP69
NFYC-AS1
EXO5
CITED4
NFYC
CTPS1
SCMH1
KCNQ4
SLFNL1-AS1
FOXO6
EDN2
HIVEP3
FOXJ3
YBX1
PPCS
RIMKLA
CCDC30
ZMYND12
SLC2A1
AC098484.4
C1orf50
P3H1
SVBP
PPIH
AL512353.1
ZNF691
CLDN19
TMEM269
ERMAP
EBNA1BP2
TIE1
SLC2A1-AS1
SZT2
MED8
ELOVL1
FAM183A
CFAP57
C1orf210
PTPRF
HYI
TMEM125
AL139289.2
CDC20
AL139289.1
B4GALT2
