comparison,n_left,n_right,median_left,median_right,U,p_value,q_value_BH,kruskal_wallis_H,kruskal_wallis_p
Embryonic vs Postnatal,18,6,0.2759601943686347,0.3445525061645217,41.0,0.4148860293025053,0.6223290439537579,2.032974910394273,0.3618637731679245
Embryonic vs Adult,18,6,0.2759601943686347,0.23837219583436695,62.0,0.6260810128087017,0.6260810128087017,2.032974910394273,0.3618637731679245
Postnatal vs Adult,6,6,0.3445525061645217,0.23837219583436695,29.0,0.09307359307359307,0.2792207792207792,2.032974910394273,0.3618637731679245
