,Fib_K14,KC_Basal,KC_Basal_Mig,KC_Basal_Prolif,KC_Spinous,KC_Spinous_Mig,KC_Spinous_Mat,KC_Granular,SAC_Progenitor
Fib_K14,0.0,0.005124248511904762,0.0008247276610468793,0.0003366294642857143,0.0006732589285714286,0.0,0.0017020829947451107,0.001347865722865723,0.05212327188940092
KC_Basal,0.005124248511904762,0.0,0.05139552833160325,0.046305252976190474,0.6674614211309524,0.04563199404761905,0.07097686088087111,1.0,0.0
KC_Basal_Mig,0.0008247276610468793,0.05139552833160325,0.0,0.15231220394697592,0.42057361951295175,0.0014245295963537005,0.07949593340528405,0.2755846729788098,0.002902267428903974
KC_Basal_Prolif,0.0003366294642857143,0.046305252976190474,0.15231220394697592,0.0,0.02247936755952381,0.0,0.0005106248984235333,0.9408102745602747,0.27702553763440857
KC_Spinous,0.0006732589285714286,0.6674614211309524,0.42057361951295175,0.02247936755952381,0.0,0.01660705357142857,1.0,0.5607121407121407,0.0
KC_Spinous_Mig,0.0,0.04563199404761905,0.0014245295963537005,0.0,0.01660705357142857,0.0,0.02059520423641584,1.0,0.0
KC_Spinous_Mat,0.0017020829947451107,0.07097686088087111,0.07949593340528405,0.0005106248984235333,1.0,0.02059520423641584,0.0,0.3618843123962578,0.0
KC_Granular,0.001347865722865723,1.0,0.2755846729788098,0.9408102745602747,0.5607121407121407,1.0,0.3618843123962578,0.0,0.0
SAC_Progenitor,0.05212327188940092,0.0,0.002902267428903974,0.27702553763440857,0.0,0.0,0.0,0.0,0.0
