timepoint,time_order,cell_state,comparison_type,n_sections,mean_score,sd_score,sem_score,p_enrichment_timepoint_permutation,n_permutations,fdr_across_102_timepoint_state_tests
19 dpb,3,SAC_SG_Clear,cross-state,2,0.018239239682937076,0.005206237970577001,0.0036813661734658868,1.0,999,1.0
19 dpb,3,SAC_SG_Dark,cross-state,2,0.02504532449561015,0.014451733534960102,0.010218918782471323,1.0,999,1.0
19 dpb,3,SAC_SG_Ductal,cross-state,2,0.023365269362569115,0.003848818947208793,0.0027215259771306063,1.0,999,1.0
19 dpb,3,SAC_HF_IRS,cross-state,2,0.029502160819343724,0.009924442637457198,0.007017640688442889,1.0,999,1.0
19 dpb,3,SAC_HF_ORS,cross-state,2,0.034493214293917586,0.007564893100936363,0.005349187210623431,1.0,999,1.0
19 dpb,3,SAC_HF_HFSC,cross-state,2,0.03521246260278664,0.027534557671863694,0.019469872446746892,1.0,999,1.0
19 dpb,3,SAC_HF_DP_DS,cross-state,2,0.05897569864820261,0.011890253899767077,0.00840767916255509,1.0,999,1.0
19 dpb,3,SAC_HF_Matrix,cross-state,2,0.027795381600781044,0.01101388406668035,0.007787992110752144,1.0,999,1.0
26 dpb,4,Fib_K14,self,2,3.3135711385366555,0.22561314630667842,0.159532585678285,0.001,999,0.017
26 dpb,4,KC_Basal,cross-state,2,1.6327333341587675,1.8393497530104754,1.3006166833275083,0.115,999,1.0
26 dpb,4,KC_Basal_Mig,cross-state,2,0.054457028328696644,0.07701386802897864,0.054457028328696644,0.996,999,1.0
26 dpb,4,KC_Basal_Prolif,cross-state,2,0.3679528941128152,0.5203639731687746,0.3679528941128152,0.66,999,1.0
26 dpb,4,KC_Spinous,cross-state,2,0.06312940860748488,0.08927846583729791,0.06312940860748487,1.0,999,1.0
26 dpb,4,KC_Spinous_Mig,cross-state,2,1.5319535921014584,1.8569225244766348,1.3130425091954712,0.079,999,1.0
26 dpb,4,KC_Spinous_Mat,cross-state,2,0.13733278832051943,0.19421789180139196,0.13733278832051943,1.0,999,1.0
26 dpb,4,KC_Granular,cross-state,2,0.04689181543802811,0.06631504135675544,0.04689181543802811,1.0,999,1.0
26 dpb,4,SAC_SG_Progenitor,cross-state,2,0.05225406196598793,0.004665225353473995,0.0032988124832048697,1.0,999,1.0
26 dpb,4,SAC_SG_Clear,cross-state,2,0.011571726578250285,0.006014185605624664,0.0042526714250517225,1.0,999,1.0
26 dpb,4,SAC_SG_Dark,cross-state,2,0.02386806028379163,0.033754534560876744,0.023868060283791626,1.0,999,1.0
26 dpb,4,SAC_SG_Ductal,cross-state,2,0.04612067700015907,0.022147602225852124,0.01566071972092231,1.0,999,1.0
26 dpb,4,SAC_HF_IRS,cross-state,2,0.05570022333115231,0.021558712410659066,0.015244311739227606,1.0,999,1.0
26 dpb,4,SAC_HF_ORS,cross-state,2,0.054191663934156115,0.006761544376037417,0.00478113387958982,1.0,999,1.0
26 dpb,4,SAC_HF_HFSC,cross-state,2,0.04604790302389564,0.0012860531241560267,0.0009093768850568714,1.0,999,1.0
