section,sample_id,timepoint,time_order,conditioned_on,cell_state,comparison_type,n_bins,n_Fib_K14,n_cell_state,fixed_radius_um,cooccurrence_score,p_enrichment,fdr_within_17_FibK14_KC_SAC_states,n_permutations
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_SG_Dark,cross-state,39669,1650,305,50.0,0.0,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_SG_Ductal,cross-state,39669,1650,1099,50.0,0.030459957279236765,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_HF_IRS,cross-state,39669,1650,625,50.0,0.0404559115919247,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_HF_ORS,cross-state,39669,1650,2604,50.0,0.05897279781374593,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_HF_HFSC,cross-state,39669,1650,167,50.0,0.04695727990895251,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_HF_DP_DS,cross-state,39669,1650,175,50.0,0.037496232496233635,1.0,1.0,999
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,4,Fib_K14,SAC_HF_Matrix,cross-state,39669,1650,44,50.0,0.05251400996017034,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,Fib_K14,self,34928,1035,1035,50.0,3.1540385528583705,0.001,0.017,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Basal,cross-state,34928,1035,1,50.0,2.933350017486276,0.065,0.36833333333333335,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Basal_Mig,cross-state,34928,1035,0,50.0,0.0,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Basal_Prolif,cross-state,34928,1035,0,50.0,0.0,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Spinous,cross-state,34928,1035,0,50.0,0.0,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Spinous_Mig,cross-state,34928,1035,3,50.0,2.8449961012969296,0.021,0.17850000000000002,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Spinous_Mat,cross-state,34928,1035,0,50.0,0.0,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,KC_Granular,cross-state,34928,1035,0,50.0,0.0,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_SG_Progenitor,cross-state,34928,1035,8098,50.0,0.0555528744491928,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_SG_Clear,cross-state,34928,1035,142,50.0,0.007319055153198561,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_SG_Dark,cross-state,34928,1035,77,50.0,0.04773612056758326,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_SG_Ductal,cross-state,34928,1035,1197,50.0,0.061781396721081384,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_HF_IRS,cross-state,34928,1035,888,50.0,0.07094453507037991,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_HF_ORS,cross-state,34928,1035,6707,50.0,0.04941053005456629,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_HF_HFSC,cross-state,34928,1035,217,50.0,0.045138526138838765,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_HF_DP_DS,cross-state,34928,1035,138,50.0,0.10255749008751128,1.0,1.0,999
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,4,Fib_K14,SAC_HF_Matrix,cross-state,34928,1035,60,50.0,0.08341623442406572,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,Fib_K14,self,90304,4613,4613,50.0,2.530046923274452,0.001,0.017,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Basal,cross-state,90304,4613,800,50.0,0.15922714959925574,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Basal_Mig,cross-state,90304,4613,2,50.0,0.0,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Basal_Prolif,cross-state,90304,4613,3,50.0,0.43162560292777713,0.893,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Spinous,cross-state,90304,4613,9652,50.0,0.15802343316208478,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Spinous_Mig,cross-state,90304,4613,1159,50.0,0.16905456398252514,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Spinous_Mat,cross-state,90304,4613,3509,50.0,0.15659803095562014,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,KC_Granular,cross-state,90304,4613,489,50.0,0.094851279713157,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_SG_Progenitor,cross-state,90304,4613,9677,50.0,0.02454495903287872,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_SG_Clear,cross-state,90304,4613,499,50.0,0.0034393557266801165,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_SG_Dark,cross-state,90304,4613,3789,50.0,0.004033364720256623,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_SG_Ductal,cross-state,90304,4613,1389,50.0,0.01839437089947463,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_HF_IRS,cross-state,90304,4613,1188,50.0,0.03409837855065459,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_HF_ORS,cross-state,90304,4613,959,50.0,0.041425159552847056,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_HF_HFSC,cross-state,90304,4613,352,50.0,0.0405106632597739,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_HF_DP_DS,cross-state,90304,4613,191,50.0,0.04245106328164552,1.0,1.0,999
2mph,2mph_A03699G6.SCT,2 mph,5,Fib_K14,SAC_HF_Matrix,cross-state,90304,4613,39,50.0,0.0,1.0,1.0,999

