cell_state,closest_distance_um,closest_distance_score,rank_including_Fib_K14_self,is_highlighted
KC_Spinous_Mig,259.1519948790842,2.6118133813953626,1,True
Melanocyte,259.1519948790842,2.506005793531581,2,False
Endo_Arterial,259.1519948790842,2.432800039117884,3,False
M2_Macrophage,259.1519948790842,2.4186447154565758,4,False
KC_Basal,259.1519948790842,2.317058920272239,5,False
Fib_Fasci,259.1519948790842,2.2846365588713966,6,False
M1_Macrophage,259.1519948790842,2.217416278890144,7,False
Fib_EN1,259.1519948790842,2.183785706702668,8,False
Fib_K14,259.1519948790842,2.161917846484788,9,True
Fib_Inflama,259.1519948790842,2.1395271007619754,10,False
Endo_Lymphatic,259.1519948790842,2.1386306868561764,11,False
Pericyte,259.1519948790842,2.1093080858930873,12,False
Fib_Myo,259.1519948790842,2.1024061623810213,13,False
Endo_Prolif,259.1519948790842,2.0925865966045847,14,False
Endo_Capillary,259.1519948790842,2.0821554100417083,15,False
Endo_Venous,259.1519948790842,2.0748392602996133,16,False
Fib_SFRP2,259.1519948790842,1.9816145309899371,17,False
Fib_Papi,259.1519948790842,1.9251826273344668,18,False
cDC2,259.1519948790842,1.176247082808367,19,False
LAM,259.1519948790842,1.1315740431791124,20,False
pDC,259.1519948790842,1.0488034840668372,21,False
Schwann,259.1519948790842,0.9988866222818885,22,False
Mast,259.1519948790842,0.9444523818348278,23,False
CD4_T,259.1519948790842,0.9099950345706543,24,False
B_Mature,259.1519948790842,0.9044770036891098,25,False
Neutrophil,259.1519948790842,0.8025482620601292,26,False
cDC1,259.1519948790842,0.7827664383089418,27,False
B_Plasma,259.1519948790842,0.7333736645523615,28,False
CD8_T,259.1519948790842,0.7283784214311532,29,False
Fib_CD45,259.1519948790842,0.6773697039265203,30,False
NK,259.1519948790842,0.632734367795111,31,False
Fib_Prolif,259.1519948790842,0.6316683247230984,32,False
SAC_HF_ORS,259.1519948790842,0.45410540954145845,33,False
SAC_HF_IRS,259.1519948790842,0.44117094018974107,34,False
SAC_HF_Matrix,259.1519948790842,0.33678782059821044,35,False
SAC_SG_Ductal,259.1519948790842,0.32611342178884684,36,False
SAC_SG_Progenitor,259.1519948790842,0.3238410020750016,37,False
SAC_HF_HFSC,259.1519948790842,0.297638714322774,38,False
SAC_SG_Dark,259.1519948790842,0.25073699411906686,39,False
SAC_HF_DP_DS,259.1519948790842,0.22792870538516738,40,False
SAC_SG_Clear,259.1519948790842,0.17900392468553664,41,False

