section,conditioned_on,cell_state,distance_coordinate_units,distance_um,cooccurrence_probability_ratio
26dpb_p2,Fib_K14,B_Mature,518.3039897581684,259.1519948790842,0.9044770036891098
26dpb_p2,Fib_K14,B_Mature,711.3480834332199,355.67404171660996,0.8701024780156363
26dpb_p2,Fib_K14,B_Mature,904.3921771082714,452.1960885541357,0.8447094688440109
26dpb_p2,Fib_K14,B_Mature,1097.436270783323,548.7181353916615,0.8388807124868366
26dpb_p2,Fib_K14,B_Mature,1290.4803644583744,645.2401822291872,0.8654973568978558
26dpb_p2,Fib_K14,B_Mature,1483.524458133426,741.762229066713,0.9063596168597902
26dpb_p2,Fib_K14,B_Mature,1676.5685518084774,838.2842759042387,0.9212470667790317
26dpb_p2,Fib_K14,B_Mature,1869.612645483529,934.8063227417645,0.9291311389242718
26dpb_p2,Fib_K14,B_Mature,2062.6567391585804,1031.3283695792902,0.9285661907608104
26dpb_p2,Fib_K14,B_Mature,2255.700832833632,1127.850416416816,0.9321392611351043
26dpb_p2,Fib_K14,B_Mature,2448.7449265086834,1224.3724632543417,0.9384761313329326
26dpb_p2,Fib_K14,B_Mature,2641.789020183735,1320.8945100918675,0.9482567878384432
26dpb_p2,Fib_K14,B_Mature,2834.8331138587864,1417.4165569293932,0.958552592418865
26dpb_p2,Fib_K14,B_Mature,3027.877207533838,1513.938603766919,0.9632882603501794
26dpb_p2,Fib_K14,B_Mature,3220.9213012088894,1610.4606506044447,0.9697873852401285
26dpb_p2,Fib_K14,B_Mature,3413.965394883941,1706.9826974419705,0.9747143446230381
26dpb_p2,Fib_K14,B_Mature,3607.0094885589924,1803.5047442794962,0.9779938977954444
26dpb_p2,Fib_K14,B_Mature,3800.053582234044,1900.026791117022,0.978943598996144
26dpb_p2,Fib_K14,B_Mature,3993.0976759090954,1996.5488379545477,0.9836785119368034
26dpb_p2,Fib_K14,B_Mature,4186.1417695841465,2093.0708847920732,0.9888053044583361
26dpb_p2,Fib_K14,B_Mature,4379.185863259198,2189.592931629599,0.9895417651077965
26dpb_p2,Fib_K14,B_Mature,4572.2299569342495,2286.1149784671247,0.9881430476464399
26dpb_p2,Fib_K14,B_Mature,4765.274050609301,2382.6370253046507,0.983243443000725
26dpb_p2,Fib_K14,B_Mature,4958.3181442843525,2479.1590721421762,0.9810561607082005
26dpb_p2,Fib_K14,B_Mature,5151.3622379594035,2575.6811189797018,0.9827141219035638
26dpb_p2,Fib_K14,B_Mature,5344.4063316344555,2672.2031658172277,0.9836107917473006
26dpb_p2,Fib_K14,B_Mature,5537.450425309507,2768.7252126547537,0.9822212101377065
26dpb_p2,Fib_K14,B_Mature,5730.494518984558,2865.247259492279,0.9809194406006524
26dpb_p2,Fib_K14,B_Mature,5923.5386126596095,2961.7693063298047,0.9809527277870598
26dpb_p2,Fib_K14,B_Mature,6116.582706334661,3058.2913531673307,0.9788093855817838
26dpb_p2,Fib_K14,B_Mature,6309.626800009713,3154.8134000048567,0.979298006101326
26dpb_p2,Fib_K14,B_Mature,6502.670893684764,3251.335446842382,0.9827104261754279
26dpb_p2,Fib_K14,B_Mature,6695.7149873598155,3347.8574936799077,0.9861925138710711
26dpb_p2,Fib_K14,B_Mature,6888.759081034867,3444.3795405174337,0.9879990461731251
26dpb_p2,Fib_K14,B_Mature,7081.803174709919,3540.9015873549597,0.9870015873162481
26dpb_p2,Fib_K14,B_Mature,7274.84726838497,3637.423634192485,0.9875374952629539
26dpb_p2,Fib_K14,B_Mature,7467.8913620600215,3733.9456810300107,0.9892130133495542
26dpb_p2,Fib_K14,B_Mature,7660.935455735073,3830.4677278675367,0.9904940822020222
26dpb_p2,Fib_K14,B_Mature,7853.979549410125,3926.9897747050627,0.9923145415530575
26dpb_p2,Fib_K14,B_Mature,8047.023643085176,4023.511821542588,0.992775532576396
26dpb_p2,Fib_K14,B_Mature,8240.067736760227,4120.033868380114,0.99411632693582
26dpb_p2,Fib_K14,B_Mature,8433.11183043528,4216.55591521764,0.9949631130443454
26dpb_p2,Fib_K14,B_Mature,8626.155924110331,4313.077962055166,0.9947122994398523
26dpb_p2,Fib_K14,B_Mature,8819.200017785382,4409.600008892691,0.99396912506109
26dpb_p2,Fib_K14,B_Mature,9012.244111460433,4506.122055730217,0.9943992717711994
26dpb_p2,Fib_K14,B_Mature,9205.288205135486,4602.644102567743,0.9962377133471173
26dpb_p2,Fib_K14,B_Mature,9398.332298810537,4699.166149405269,0.9982945048784603
26dpb_p2,Fib_K14,B_Mature,9591.376392485588,4795.688196242794,0.9991796208883966
26dpb_p2,Fib_K14,B_Mature,9784.42048616064,4892.21024308032,0.9993394857249159
26dpb_p2,Fib_K14,B_Plasma,518.3039897581684,259.1519948790842,0.7333736645523615
26dpb_p2,Fib_K14,B_Plasma,711.3480834332199,355.67404171660996,0.7206444985102516
26dpb_p2,Fib_K14,B_Plasma,904.3921771082714,452.1960885541357,0.719563221619508
26dpb_p2,Fib_K14,B_Plasma,1097.436270783323,548.7181353916615,0.7363340411723803
26dpb_p2,Fib_K14,B_Plasma,1290.4803644583744,645.2401822291872,0.7695171745771101
26dpb_p2,Fib_K14,B_Plasma,1483.524458133426,741.762229066713,0.8065504427541259
26dpb_p2,Fib_K14,B_Plasma,1676.5685518084774,838.2842759042387,0.8395150946378499
26dpb_p2,Fib_K14,B_Plasma,1869.612645483529,934.8063227417645,0.8741200465490944
26dpb_p2,Fib_K14,B_Plasma,2062.6567391585804,1031.3283695792902,0.9034864763507496
26dpb_p2,Fib_K14,B_Plasma,2255.700832833632,1127.850416416816,0.9296434146403786
26dpb_p2,Fib_K14,B_Plasma,2448.7449265086834,1224.3724632543417,0.9479047851833198
26dpb_p2,Fib_K14,B_Plasma,2641.789020183735,1320.8945100918675,0.961651737074241
26dpb_p2,Fib_K14,B_Plasma,2834.8331138587864,1417.4165569293932,0.973168988044257
26dpb_p2,Fib_K14,B_Plasma,3027.877207533838,1513.938603766919,0.9801104429544732
26dpb_p2,Fib_K14,B_Plasma,3220.9213012088894,1610.4606506044447,0.9831165315196649
26dpb_p2,Fib_K14,B_Plasma,3413.965394883941,1706.9826974419705,0.9852671214928471
26dpb_p2,Fib_K14,B_Plasma,3607.0094885589924,1803.5047442794962,0.9858417478588352
26dpb_p2,Fib_K14,B_Plasma,3800.053582234044,1900.026791117022,0.9863202075405983
26dpb_p2,Fib_K14,B_Plasma,3993.0976759090954,1996.5488379545477,0.9870402421042997
26dpb_p2,Fib_K14,B_Plasma,4186.1417695841465,2093.0708847920732,0.9874851309775481
26dpb_p2,Fib_K14,B_Plasma,4379.185863259198,2189.592931629599,0.9883290724317954
26dpb_p2,Fib_K14,B_Plasma,4572.2299569342495,2286.1149784671247,0.989523811170285
26dpb_p2,Fib_K14,B_Plasma,4765.274050609301,2382.6370253046507,0.9924942609207521
26dpb_p2,Fib_K14,B_Plasma,4958.3181442843525,2479.1590721421762,0.9946740156973928
26dpb_p2,Fib_K14,B_Plasma,5151.3622379594035,2575.6811189797018,0.9952258238252143
26dpb_p2,Fib_K14,B_Plasma,5344.4063316344555,2672.2031658172277,0.9956868439040368
26dpb_p2,Fib_K14,B_Plasma,5537.450425309507,2768.7252126547537,0.9958311986972649
26dpb_p2,Fib_K14,B_Plasma,5730.494518984558,2865.247259492279,0.9962670554073745
26dpb_p2,Fib_K14,B_Plasma,5923.5386126596095,2961.7693063298047,0.997110150575867
26dpb_p2,Fib_K14,B_Plasma,6116.582706334661,3058.2913531673307,0.9984690006874604
26dpb_p2,Fib_K14,B_Plasma,6309.626800009713,3154.8134000048567,1.0004909005107863
26dpb_p2,Fib_K14,B_Plasma,6502.670893684764,3251.335446842382,1.0020519200469162
26dpb_p2,Fib_K14,B_Plasma,6695.7149873598155,3347.8574936799077,1.003318541510717
26dpb_p2,Fib_K14,B_Plasma,6888.759081034867,3444.3795405174337,1.0039848259627442
26dpb_p2,Fib_K14,B_Plasma,7081.803174709919,3540.9015873549597,1.0041788423045328
26dpb_p2,Fib_K14,B_Plasma,7274.84726838497,3637.423634192485,1.0042384055779008
26dpb_p2,Fib_K14,B_Plasma,7467.8913620600215,3733.9456810300107,1.0043955770235262
26dpb_p2,Fib_K14,B_Plasma,7660.935455735073,3830.4677278675367,1.0044226181933724
26dpb_p2,Fib_K14,B_Plasma,7853.979549410125,3926.9897747050627,1.00436234422567
26dpb_p2,Fib_K14,B_Plasma,8047.023643085176,4023.511821542588,1.0044999431414576
26dpb_p2,Fib_K14,B_Plasma,8240.067736760227,4120.033868380114,1.0045663242518357
26dpb_p2,Fib_K14,B_Plasma,8433.11183043528,4216.55591521764,1.0046905556185803
26dpb_p2,Fib_K14,B_Plasma,8626.155924110331,4313.077962055166,1.0050834423854718
26dpb_p2,Fib_K14,B_Plasma,8819.200017785382,4409.600008892691,1.0050230838009895
26dpb_p2,Fib_K14,B_Plasma,9012.244111460433,4506.122055730217,1.0047945339447217
26dpb_p2,Fib_K14,B_Plasma,9205.288205135486,4602.644102567743,1.0040419149225952
