analysis_set,method,gene,pearson_r,pearson_p_raw,spearman_rho,spearman_p_raw,n,pearson_q_bh,spearman_q_bh
All ATAC cells,Direct ATAC gene-score correlation,KRT14,0.028174052983631886,0.5317266038592623,0.029678876785913105,0.5100312349745798,495,0.918059652736216,0.9182483210848907
All ATAC cells,Direct ATAC gene-score correlation,KRT5,0.07655501692433866,0.08886169736808192,0.07871648622959117,0.08018404180160221,495,0.4443084868404096,0.40092020900801106
All ATAC cells,Direct ATAC gene-score correlation,PDGFRA,-0.020934441527972934,0.642192643635601,-0.009716834043573002,0.8292649114658502,495,0.918059652736216,0.9182483210848907
All ATAC cells,Direct ATAC gene-score correlation,TP63,-0.001712538639321417,0.9696834729107819,0.005222334252954846,0.9077344563637578,495,0.969683472910782,0.9182483210848907
All ATAC cells,Direct ATAC gene-score correlation,TACSTD2,-0.015284334361419951,0.7344477221889728,0.004625014353338252,0.9182483210848907,495,0.918059652736216,0.9182483210848907
