region_a,region_b,odds_ratio,fisher_p,fisher_fdr
Un-epi,Epi-Front,0.8842650831905435,1.902964926735431e-06,1.902964926735431e-06
Un-epi,Newly-epi,1.98139358521917,5.832882514218814e-166,1.7498647542656443e-165
Epi-Front,Newly-epi,2.2407235374148713,3.3799586755595226e-158,5.069938013339284e-158
