dataset,gene,matched_symbol,mean_expression,percent_positive,n_cells_sampled,h5ad
SpinyWound,SOX9,Sox9,0.03850412741303444,2.254,50000,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,PDGFRA,,,0.0,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,KRT14,Krt14,0.25000127669975186,9.974883387154646,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,KLF4,Klf4,1.8343848705178782,68.78363832077503,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,IGFL1,,,0.0,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,IGF1,Igf1,0.5907183680528632,23.681377825618945,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,COL1A1,Col1a1,2.06877708219282,72.51524937208468,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,COL3A1,Col3a1,2.1353807969402174,73.26874775744528,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,POSTN,Postn,1.188326286016646,45.20990312163617,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
SpinySteady,LUM,Lum,1.0412903903363606,40.40186580552565,2787,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\analysis\scrna_skin_repair_pipeline\h5ad\annotated_true_umap_modules_fibk14.h5ad
