species,condition,sample,path,source_type,total_units,double_positive,double_positive_fraction,double_positive_percent,fib_marker,epi_marker,marker_source,classification_source,mapping_status
Reindeer,Reindeer back,GSM5467010_4XE_B_ReindeerPBMCBack_bigmemfiltered_feature_bc,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,3191,0,0.0,0.0,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer velvet,GSM4244978_Sample_1_Day0_Antler_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,5579,92,0.016490410467825775,1.6490410467825776,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer velvet,GSM4244980_Sample_3_Day3_Antler_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,10926,593,0.054274208310452134,5.427420831045214,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer velvet,GSM4244982_Sample_5_Day7_Antler_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,6373,410,0.06433390867723207,6.433390867723207,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer velvet,GSM4244984_Sample_7_Day14_Antler_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,9715,468,0.048172928461142565,4.817292846114256,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer velvet,GSM5467009_5XD_A_ReindeerPBMCAntler_bigmemfiltered_feature_bc,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,3107,0,0.0,0.0,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer velvet,GSM5467011_4XE_A_ReindeerPBMCAntler_bigmemfiltered_feature_bc,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,2493,0,0.0,0.0,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys wound,GSM7022154,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,798,0,0.0,0.0,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys wound,GSM7022155,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,14396,0,0.0,0.0,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys wound,GSM7022156,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,7083,0,0.0,0.0,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys wound,GSM7022157,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,4390,1108,0.25239179954441915,25.239179954441912,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys wound,GSM7022158,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,21047,0,0.0,0.0,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys wound,GSM7022159,F:\时空组学流程分析skills\单细胞课题2_刺毛鼠_创面再生与纤维化修复\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,8155,3771,0.46241569589209075,46.24156958920907,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
African spiny mouse,Acomys unwounded,GSM4848109_Unwounded,F:\时空组学流程分析skills\单细胞课题3_刺毛鼠_稳态皮肤毛囊再生参考图谱\h5ad\annotated_true_umap_modules_fibk14.h5ad,scRNA,2787,26,0.009329027628274129,0.932902762827413,Vim,Krt14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Planarian 0hpa1,Planarian 0hpa1,0hpa1.sc,F:\多组学分析skills\课题01+涡虫基因人同源symbol转换+跨物种+20260711\h5ad\0hpa1.sc_module1_human_symbol_alias_expanded.h5ad,planarian alias-expanded human-symbol h5ad,294166,2152,0.007315597315801282,0.7315597315801282,PDGFRA/VIM unavailable,KRT14,alias-expanded human symbol X,planarian_alias_expanded_KRT14_like_only; fibroblast marker PDGFRA/VIM unavailable,KRT14_like_only_fibroblast_marker_missing
Planarian 3dpa1,Planarian 3dpa1,3dpa1.sc,F:\多组学分析skills\课题01+涡虫基因人同源symbol转换+跨物种+20260711\h5ad\3dpa1.sc_module1_human_symbol_alias_expanded.h5ad,planarian alias-expanded human-symbol h5ad,172641,1160,0.00671914551004686,0.671914551004686,PDGFRA/VIM unavailable,KRT14,alias-expanded human symbol X,planarian_alias_expanded_KRT14_like_only; fibroblast marker PDGFRA/VIM unavailable,KRT14_like_only_fibroblast_marker_missing
Planarian 7dpa1,Planarian 7dpa1,7dpa1.sc,F:\多组学分析skills\课题01+涡虫基因人同源symbol转换+跨物种+20260711\h5ad\7dpa1.sc_module1_human_symbol_alias_expanded.h5ad,planarian alias-expanded human-symbol h5ad,105723,0,0.0,0.0,PDGFRA/VIM unavailable,,unmapped,planarian_alias_expanded_KRT14_like_only; fibroblast marker PDGFRA/VIM unavailable,planarian_alias_marker_missing
