species,condition,sample,path,source_type,total_units,double_positive,double_positive_fraction,double_positive_percent,fib_marker,epi_marker,marker_source,classification_source,mapping_status
Human,Human wound,DSDB_7dpb,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,9787,75,0.007663226729334832,0.7663226729334832,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,MCY-158-1,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,18962,189,0.009967303027106845,0.9967303027106845,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,MCY-158-2,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,23613,171,0.007241773599288528,0.7241773599288528,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,SSDB_10dpb,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8099,179,0.02210149401160637,2.210149401160637,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,SSDB_12dpb,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,509,24,0.047151277013752456,4.715127701375246,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,SSDB_19dpb,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5503,453,0.08231873523532618,8.231873523532618,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,SSDB_7dpb,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,5084,115,0.022619984264358774,2.2619984264358775,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_10dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7556,848,0.11222869242985707,11.222869242985707,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_10dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7822,853,0.10905139350549732,10.905139350549732,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat adult,FTDI_19dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,6664,638,0.09573829531812725,9.573829531812725,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
