cell_type,compartment,sample_key,sample_id,day,n_bins,median_x_um,median_depth
LAM,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,138,1390.4703572166486,0.2633133618269478
LAM,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,255,-7.348093392224662,0.41616312284263623
LAM,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,162,1421.4171055542745,0.2192192812087299
LAM,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,164,-2497.98315474422,0.21997664170748749
LAM,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,118,-461.23857802090765,0.22336857881792488
LAM,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,742,581.350973551906,0.47602490228240696
LAM,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,410,1199.3501500865389,0.4909738643727751
LAM,Immune,2mph,2mph_A03699G6.SCT,60,453,3606.479456824224,0.2803411297173529
Neutrophil,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,4,-379.4759226888926,0.27261627262312826
Neutrophil,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,7,3341.7270076313057,0.42890498115812653
Neutrophil,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,6,970.9792592777294,0.18936051282596944
Neutrophil,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,8,1623.9837713524157,0.07469934602772954
Neutrophil,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,4,2611.4398204561912,0.14090105538498032
Neutrophil,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,10,-5602.168402757872,0.2501262216807351
Neutrophil,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,6,-1532.5199293947426,0.06621201706525341
Neutrophil,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,56,500.40683327090323,0.3866737667527654
Neutrophil,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,38,-250.4052816472597,0.4626445232766814
Neutrophil,Immune,2mph,2mph_A03699G6.SCT,60,96,2611.7231586511143,0.10917027488046097
Mast,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,78,-2513.3827369653195,0.554399795008008
Mast,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,140,889.2938393755231,0.4545078713475189
Mast,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,177,1103.3850040549114,0.49928927982567667
Mast,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,149,944.9226022141581,0.4152088378809769
Mast,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,163,2018.3597375801749,0.2703968078573459
Mast,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,167,-3007.2455649272006,0.328831435782486
Mast,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,178,-564.8643695104618,0.32467210837704885
Mast,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,222,1197.6982610911264,0.3034936042929245
Mast,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,113,-493.23083557697464,0.4245507852006058
Mast,Immune,2mph,2mph_A03699G6.SCT,60,935,3966.84535003261,0.2885859568990263
cDC1,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,54,-2296.1195974057755,0.5303428016108609
cDC1,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,20,392.5054062740434,0.4533472068217679
cDC1,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,36,1013.3378707518716,0.2673927276126842
cDC1,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,47,708.3506664962889,0.5631553925290465
cDC1,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,31,1284.274386685998,0.2509007435379831
cDC1,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,36,-2708.6043418979143,0.20107922103434533
cDC1,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,21,-1301.7034600827087,0.250907970676423
cDC1,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,56,1245.0035984339297,0.22310001550339326
cDC1,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,46,498.8320943488941,0.3900545996845872
cDC1,Immune,2mph,2mph_A03699G6.SCT,60,156,3865.7891251506617,0.2584887982285263
cDC2,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,31,-510.268289547919,0.4632095014293558
cDC2,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,12,539.2398466852935,0.3884130180103635
cDC2,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,15,976.812890222518,0.14899875180870126
cDC2,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,39,-889.3368196886646,0.283715346597462
cDC2,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,19,3568.0051294158147,0.20003693835121306
cDC2,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,70,-3345.795174501919,0.32290484719296847
cDC2,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,42,-1276.7481631762257,0.20768532152686187
cDC2,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,58,1423.0419140768536,0.13298081126682965
cDC2,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,32,172.72932522896954,0.11935584145013171
cDC2,Immune,2mph,2mph_A03699G6.SCT,60,161,3042.425217471056,0.10557372601370822
pDC,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,63,-1996.934139964801,0.5795226690871452
pDC,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,25,1145.0610801483126,0.41810593298519977
pDC,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,33,1556.2868974048943,0.15421335432704017
pDC,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,39,-29.837674426776612,0.5267133631013449
pDC,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,59,2188.320585755121,0.35419549410052364
pDC,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,55,-4158.956492954228,0.2782214334645823
pDC,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,41,-1066.346281326121,0.2436845867492515
pDC,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,107,1456.0967161375727,0.2125436609952777
pDC,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,122,309.0824455242092,0.40884282468907973
pDC,Immune,2mph,2mph_A03699G6.SCT,60,127,3760.830697699852,0.25877127869183186
LGHS,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,0,,
LGHS,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
LGHS,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,0,,
LGHS,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,1,-4764.72121098672,0.11113084210089394
LGHS,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,0,,
LGHS,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,1,-364.1832894471579,0.019664314256664168
LGHS,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,0,,
LGHS,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,1,3561.66506314537,0.10303099369671465
LGHS,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,0,,
LGHS,Immune,2mph,2mph_A03699G6.SCT,60,0,,
B_Mature,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,2,-1833.477829458629,0.5596318176070425
B_Mature,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,7,-499.2022461782442,0.5524049335708542
B_Mature,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,11,1465.423676022423,0.39811771543025193
B_Mature,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,12,2486.6963450702488,0.3747206189668466
B_Mature,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,4,4317.6416808521235,0.47400704470881105
B_Mature,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,27,-5599.832109668907,0.22413117348880074
B_Mature,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,7,-1239.524444006949,0.3743807198590262
B_Mature,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,27,1513.1676759515854,0.4995590717014219
B_Mature,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,33,372.7074575515344,0.4374231238824974
B_Mature,Immune,2mph,2mph_A03699G6.SCT,60,129,5186.102127424658,0.29722256827355686
B_Plasma,Immune,5dpb,BW32_A01597A3_SDSDB_5dpb,5,16,-4018.3613867436516,0.53437343494442
B_Plasma,Immune,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,145,104.47225934062266,0.6462219288385113
B_Plasma,Immune,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,821,1603.8682238081794,0.7030336794430604
B_Plasma,Immune,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,898,1171.6677267908135,0.5375108696992479
B_Plasma,Immune,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,629,1000.0420912678434,0.39660907088672315
B_Plasma,Immune,19dpb,BW15D_C6_SDSDB_19dpb,19,1161,-4326.102674478717,0.3403613879913432
B_Plasma,Immune,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,933,-1136.5617703580428,0.26664081090502456
B_Plasma,Immune,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,2955,1151.3423741391764,0.4454043784375186
B_Plasma,Immune,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,2721,1253.3814424773761,0.45424409676456584
B_Plasma,Immune,2mph,2mph_A03699G6.SCT,60,2041,4636.374080616611,0.32266488466871457
