cell_type,region_a,region_b,odds_ratio,fisher_p,fisher_fdr
KC_Spinous_Mig,Epi-Front,Un-epi,6.363532702035607,4.665093511374177e-284,2.7990561068245064e-283
KC_Spinous_Mig,Epi-Front,Newly-epi,0.8010570056161402,7.204839623518674e-09,1.0807259435278011e-08
SAC_SG_Progenitor,Epi-Front,Un-epi,0.4832080667536286,3.602555412326246e-15,7.205110824652492e-15
SAC_SG_Progenitor,Epi-Front,Newly-epi,1.440869922696825,0.003854785573815692,0.003854785573815692
Fib_K14,Epi-Front,Un-epi,1.1308826041076616,1.902964926735431e-06,2.283557912082517e-06
Fib_K14,Epi-Front,Newly-epi,2.2407235374148713,3.3799586755595226e-158,1.0139876026678569e-157

